Time,Priority,Category,Message,Source,Destination,Notes,Rule
10:47.2,Info,Firewall Event,SonicWALL initializing,,,,
10:55.2,Error,Firewall Event,Interface X0 Link Is Down,,,,
10:55.2,Warning,Firewall Event,Interface X1 Link Is Up,,,,
10:55.2,Error,Firewall Event,Interface X2 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X3 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X4 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X5 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X6 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X7 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X8 Link Is Down,,,,
10:55.2,Error,Firewall Event,Interface X9 Link Is Down,,,,
11:02.2,Alert,Firewall Event,SonicWALL activated,,,,
33:20.4,Warning,Firewall Event,Interface X8 Link Is Up,,,,
33:23.4,Warning,Firewall Event,Interface X9 Link Is Up,,,,
33:56.0,Error,Firewall Event,Interface X8 Link Is Down,,,,
33:57.9,Warning,Firewall Event,Interface X8 Link Is Up,,,,
34:03.9,Error,Firewall Event,Interface X8 Link Is Down,,,,
34:05.8,Warning,Firewall Event,Interface X8 Link Is Up,,,,
34:59.5,Error,Firewall Event,Interface X8 Link Is Down,,,,
35:01.6,Warning,Firewall Event,Interface X8 Link Is Up,,,,
35:10.3,Error,Firewall Event,Interface X8 Link Is Down,,,,
35:12.2,Warning,Firewall Event,Interface X8 Link Is Up,,,,
36:43.6,Error,Firewall Event,Interface X8 Link Is Down,,,,
36:45.6,Warning,Firewall Event,Interface X8 Link Is Up,,,,
37:23.5,Error,Firewall Event,Interface X8 Link Is Down,,,,
37:25.4,Warning,Firewall Event,Interface X8 Link Is Up,,,,
37:59.6,Warning,Firewall Event,Interface X0 Link Is Up,,,,
38:18.3,Error,Firewall Event,Interface X0 Link Is Down,,,,
38:38.8,Warning,Firewall Event,Interface X0 Link Is Up,,,,
42:04.8,Info,Authenticated Access,Administrator login allowed,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0","admin1, TCP HTTP",
42:04.8,Info,Authenticated Access,Configuration mode administration session started,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",admin1 at GUI from 192.168.168.62,
46:18.6,Warning,Firewall Event,Wan IP Changed,"216.151.17.13, 0, X1",,,
50:59.7,Error,Firewall Event,Interface X8 Link Is Down,,,,
51:02.9,Warning,Firewall Event,Interface X4 Link Is Up,,,,
59:57.7,Error,Firewall Event,Interface X9 Link Is Down,,,,
00:02.3,Warning,Firewall Event,Interface X5 Link Is Up,,,,
00:34.0,Info,Firewall Event,Interface IP Assignment changed: Shutting down None,,,,
26:42.6,Error,Firewall Event,Interface X5 Link Is Down,,,,
26:44.2,Warning,Firewall Event,Interface X5 Link Is Up,,,,
26:45.2,Error,Firewall Event,Interface X5 Link Is Down,,,,
26:47.5,Warning,Firewall Event,Interface X5 Link Is Up,,,,
29:36.7,Error,Firewall Event,Interface X5 Link Is Down,,,,
29:39.0,Warning,Firewall Event,Interface X5 Link Is Up,,,,
42:31.4,Error,Firewall Event,Interface X0 Link Is Down,,,,
32:30.9,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",,
32:30.9,Info,Authenticated Access,Configuration mode administration session ended,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",admin1 at GUI from 192.168.168.62,
32:30.9,Info,Authenticated Access,GUI administration session ended,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",admin1,
13:26.6,Warning,Firewall Event,Interface X0 Link Is Up,,,,
15:04.7,Alert,Authenticated Access,Administrator login denied due to bad credentials,"192.168.168.62, 0, X0","192.168.168.168, 80, X0","admin1, TCP HTTP",
15:37.1,Info,Authenticated Access,Administrator login allowed,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0","admin1, TCP HTTP",
15:37.1,Info,Authenticated Access,Configuration mode administration session started,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",admin1 at GUI from 192.168.168.62,
25:23.9,Info,Firewall Event,Interface IP Assignment changed: Shutting down None,,,,
25:43.4,Info,Firewall Event,Interface IP Assignment changed: Shutting down None,,,,
08:33.4,Alert,Authenticated Access,Administrator login denied due to bad credentials,"192.168.168.62, 0, X0","192.168.168.168, 80, X0","admin1, TCP HTTP",
09:04.2,Info,Authenticated Access,Administrator login allowed,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0","admin1, TCP HTTP",
56:45.7,Error,Firewall Event,Interface X0 Link Is Down,,,,
54:00.5,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",,
54:00.5,Info,Authenticated Access,Configuration mode administration session ended,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",admin1 at GUI from 192.168.168.62,
54:00.5,Info,Authenticated Access,GUI administration session ended,"192.168.168.62, 0, X0 (admin1)","192.168.168.168, 80, X0",admin1,
17:58.3,Warning,Firewall Event,Interface X0 Link Is Up,,,,
22:14.1,Error,Firewall Event,Interface X0 Link Is Down,,,,
22:20.3,Warning,Firewall Event,Interface X0 Link Is Up,,,,
22:21.9,Error,Firewall Event,Interface X0 Link Is Down,,,,
23:19.3,Warning,Firewall Event,Interface X0 Link Is Up,,,,
23:46.8,Error,Firewall Event,Interface X0 Link Is Down,,,,
24:00.0,Warning,Firewall Event,Interface X0 Link Is Up,,,,
30:02.5,Error,Firewall Event,Interface X0 Link Is Down,,,,
30:54.6,Info,Authenticated Access,Administrator login allowed,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4","admin1, TCP HTTPS",
30:54.6,Info,Authenticated Access,Configuration mode administration session started,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
31:48.1,Warning,Firewall Event,Interface X0 Link Is Up,,,,
52:27.1,Error,Firewall Event,Interface X0 Link Is Down,,,,
00:27.2,Warning,Firewall Event,Interface X0 Link Is Up,,,,
12:53.5,Error,Firewall Event,Interface X0 Link Is Down,,,,
13:17.1,Warning,Firewall Event,Interface X0 Link Is Up,,,,
13:23.8,Error,Firewall Event,Interface X0 Link Is Down,,,,
13:36.1,Warning,Firewall Event,Interface X0 Link Is Up,,,,
13:58.8,Info,Firewall Event,DHCP Ranges altered automatically due to change in network settings for interface X0,,,,
53:58.6,Error,Firewall Event,Interface X0 Link Is Down,,,,
56:00.3,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.4.8, 0, X4 (admin1)","192.168.10.1, 443, X0",,
56:00.3,Info,Authenticated Access,Configuration mode administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
56:00.3,Info,Authenticated Access,GUI administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1,
28:53.1,Info,Authenticated Access,Administrator login allowed,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4","admin1, TCP HTTPS",
28:53.1,Info,Authenticated Access,Configuration mode administration session started,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
35:10.3,Alert,Intrusion Prevention,Possible SYN Flood on IF X4 - src: 192.168.4.8:52176 dst: 134.170.21.245:443,,,,
35:12.0,Alert,Intrusion Prevention,Possible SYN Flood on IF X4 - from machine xx:xx:c5:5d:20:4d with SYN rate of 0/sec has ceased,,,,
